47_10,47_10_nanopore.fastq.gz,47_10_S53_R[12]_001.fastq.gz,V6Z79
47_4,47_4_nanopore.fastq.gz,47_4_S52_R[12]_001.fastq.gz,V6Z88
ATCC_13073,ATCC13073_nanopore.fastq.gz,ATCC13073_S49_R[12]_001.fastq.gz,V6Z90
ATCC_42202,ATCC42202_nanopore.fastq.gz,ATCC42202_S51_R[12]_001.fastq.gz,V6Z92
ATCC_46645,ATCC46645_nanopore.fastq.gz,ATCC46645_R[12].fastq.gz,V6Z93
B5233,B5233_nanopore.fastq.gz,B5233_S48_R[12]_001.fastq.gz,V6Z94
CEA10,CEA10_nanopore.fastq.gz,CEA10_SRR7418934_[12].fastq.gz,V6Z95
D141,D141_nanopore.fastq.gz,D141_S47_R[12]_001.fastq.gz,V6Z96
H237,H237_nanopore.fastq.gz,H237_S50_R[12]_001.fastq.gz,V6Z98
S02_30,S02_30_nanopore.fastq.gz,ERR769510_[12].fastq.gz,V6Z77
TP9,TP9_nanopore.fastq.gz,AF100-9B_S8_R[12]_001.fastq.gz,V6000
W72310,W72310_nanopore.fastq.gz,W72310_R[12].fastq.gz,HCH54
eAF1023,eAF1023_nanopore.fastq.gz,SRR25182965_[12].fastq.gz,ACX4JU
eAF1436,eAF1436_nanopore.fastq.gz,SRR25183053_[12].fastq.gz,ACX4JV
eAF1090,eAF1090_nanopore.fastq.gz,SRR25183014_[12].fastq.gz,ACX4JW
eAF1560,eAF1560_nanopore.fastq.gz,SRR25183083_[12].fastq.gz,ACX4JX
