SampleID	CONTIG_COUNT	TOTAL_LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	GC%	Telomeres_Found	Telomeres_Fwd	Telomeres_Rev	Telomeres_CompleteChrom	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes
47_10.canu	16	29392777	15336	4901299	1741085	1837048.56	4	3777632	8	1741085	49.21	15	8	7	NA	95.1	94.6	0.5	2.2	2.7	3546
47_10.canu.medaka	16	29412407	15354	4904751	1742284	1838275.44	4	3780135	8	1742284	49.22	15	8	7	6	99.1	98.7	0.4	0.5	0.4	3546
47_10.canu.pilon	16	29412317	15356	4904776	1742274	1838269.81	4	3780118	8	1742274	49.21	15	8	7	6	99.7	99.3	0.4	0.1	0.2	3546
47_10.necat	10	28827459	75996	4902794	3634029	2882745.90	4	3668284	8	1692522	49.43	14	5	9	5	96.9	96.8	0.1	1.5	1.6	3546
47_10.necat.pilon	10	28838333	76015	4904786	3635376	2883833.30	4	3669751	8	1693124	49.44	14	5	9	5	99.7	99.6	0.1	0.1	0.2	3546
47_4.canu	65	29444545	2645	4156240	8430	452993.00	5	2636419	12	1158927	49.12	15	6	9	NA	95.1	95.0	0.1	2.2	2.7	3546
47_4.canu.medaka	65	29465661	2659	4159285	8454	453317.86	5	2638463	12	1159778	49.12	15	6	9	2	98.8	98.7	0.1	0.6	0.6	3546
47_4.canu.pilon	65	29465568	2659	4159268	8454	453316.43	5	2638439	12	1159780	49.12	15	6	9	2	99.7	99.6	0.1	0.1	0.2	3546
47_4.necat	83	29395138	3054	4111722	9360	354158.29	5	2679713	14	574837	49.16	14	5	9	1	96.2	95.9	0.3	1.9	1.9	3546
47_4.necat.pilon	83	29346875	3054	4112910	9360	353576.81	5	2680570	14	575084	49.19	14	5	9	1	99.7	99.4	0.3	0.1	0.2	3546
ATCC_13073.canu	14	28819591	18857	4875828	1823196	2058542.21	4	3903676	7	1823196	49.08	15	7	8	NA	96.4	96.3	0.1	1.5	2.1	3546
ATCC_13073.canu.medaka	14	28836124	19035	4878725	1824062	2059723.14	4	3905872	7	1824062	49.09	15	7	8	6	99.3	99.2	0.1	0.3	0.4	3546
ATCC_13073.canu.pilon	14	28836403	19035	4878823	1824071	2059743.07	4	3905879	7	1824071	49.09	15	7	8	6	99.8	99.7	0.1	0.0	0.2	3546
ATCC_13073.necat	10	28670509	31746	4877123	3773758	2867050.90	4	3775849	7	1823592	49.21	16	7	9	7	97.4	97.2	0.2	1.0	1.6	3546
ATCC_13073.necat.pilon	10	28668582	31762	4878736	3771061	2866858.20	4	3775019	7	1824097	49.21	16	7	9	7	99.7	99.5	0.2	0.1	0.2	3546
